case,N,kind,plan_scene,makespan,added_copy_bytes,scheduled_copy_bytes,partition_added,spill_added,cache_hit_bytes,cache_miss_bytes,cache_hit_rate,speedup,plan_sha256,fingerprint,record_id
case_001,2,problem_1,A,117688,5760,1645312,5760,0,,,,1.9807457004962272,96696bf4e11f8cfb1af7c5d11d1ba52d3092038f1ee0289558e080d2e87f066d,bfc5bd692148c286e68ee6db92937e014a3bcacceec2294b4f7658f4ebb5b52c,0cdf05622a6f4d0cbc759fdacfd3938f
case_001,3,problem_1,A,78955,5760,1645312,5760,0,,,,2.9524412640111457,68a33dc404ee077fe77ad430202a18823c6d3fa4a4d9ae00a85baa22eb386607,8125e37b5bceb55384e843887b85f374c456dbc469a1115edf5726b1d48f92b6,ddfc43a6c67c400ca7af2d9fffe80cef
case_001,4,problem_1,A,59394,4608,1644160,4608,0,,,,3.9248072195844697,f4f1e06b2e04f0eb80dfd34ea666f549784460e0c60daac8c0b3e5ac51e9e172,cbc044b848b2b7e192a0553550ab55c06dda2a5428560c531e5b276a05d9f126,270617f8e6b345ebb6ba039a77d4bda8
case_001,5,problem_1,A,47502,4608,1644160,4608,0,,,,4.9073723211654245,d162e811a0bda14c4b89f4d414dac4d17c5fb1e485b498ae71b922dea5da46d5,e5a3f11e592a8ad353428e6358abbbf392854d80c488c488faa7bc951d4363db,c58a3906087c44b5a37725d77f175b22
case_001,1,singlecore,,233110,0,1639552,0,0,,,,1.0,,520d1acb06adc82f4f98502064f671a6230a68f78e6b2e9ce89f577cccf9b0d6,861966f9b6224e8b904f798f6635fbab
case_002,2,problem_1,A,140314,282624,1506816,282624,0,,,,1.8668486394800234,54b3846068c6f6391e3242f293461af9ac87f839522328569e38c3d04ddd0a5d,bc78da88ae61a07b55e68a1d24af1ec10b8517a551ac212d9a7c7e7a362e9cb4,3137384cebe544f692774c632b77cfa1
case_002,3,problem_1,A,91493,239616,1463808,239616,0,,,,2.863005913020668,d0527cd21fc37c830ab829526711a96286c669af7e0992b8352a3c921adf618f,d91e3f52a6c6b27c30cc17c274cea69b2e5d09676706df82f2c2b1e4144fd1be,9d09d1dee5f04d2fbd957bfa4b0321c9
case_002,4,problem_1,A,72965,239616,1463808,239616,0,,,,3.5900089083807303,de596a79f23e5c25f9b4f2e32a9e80f6e7afeaacfb9fcfa2ea9ae38114696697,ae4a534c0675d535d2f0410f540d0dad57038da152f24836dc19b5e649f5f074,5a5264280094472f9e625c14606a0d6c
case_002,5,problem_1,A,61453,245760,1469952,245760,0,,,,4.262525832750232,0c025ae92e127518f92f080e3b7cb1a1573545bb2567e9f7e13834e4804fcfa8,eef70941dd41efe62efd32cc42a0867d7aeb6364607f42912a7bcf026963e18b,f4a7e98ba30046598512ff5f63ffa024
case_002,1,singlecore,,261945,0,1224192,0,0,,,,1.0,,5053746c21bf3bf1e8d9eed9d4fdbe446286f6210179b09a6260b69b3b3b5b52,84b38bb613f44f0c93850947c2b8e71c
