case,N,kind,plan_scene,makespan,added_copy_bytes,scheduled_copy_bytes,partition_added,spill_added,cache_hit_bytes,cache_miss_bytes,cache_hit_rate,speedup,plan_sha256,fingerprint,record_id
case_001,2,problem_2,B,116868,1152,1640704,1152,0,,,,1.9946435294520313,8abd33f9588cf2db2e4db267744ecb98cb0bf34ecc2413578fc889728b672ffe,ec291b1d63800cc94059c1c79ede2623cc0eec70ad4c1708bb4d5b6519c3b7b0,3389c70ec2b2498a8dee44785e68944d
case_001,3,problem_2,B,78545,2304,1641856,2304,0,,,,2.9678528232223567,6d6cffe48a71edc53effe10d454190930096c6ae6452d6526a7148d258612a74,8a3d911746060311f20354578697d72b246b360bc950ced9b27097ffd7cf5f9f,72d9b7aeb1544b4ebc098e3b31e4c147
case_001,4,problem_2,B,58984,3456,1643008,3456,0,,,,3.952088702020887,1d00a2193c4c02d534cc20d45bc282915d590734686d70f1a99d05bb79412d71,abd57737f3d028de054f0ca61e665d35e18e7342935b096f931c6174cb78567a,187422d228694ae2824d3ff2a88c4dcd
case_001,5,problem_2,B,47502,4608,1644160,4608,0,,,,4.9073723211654245,b3dae29d0f436a750631fa72c2dee3456e91d22cc0a15ad9028aacf81002b61a,4903809c65c9f5f701f801e65bc1143df787ee5c688d7691603f2290be56167a,acd9cd61072b4f4896d12d05e50fb0ed
case_001,2,problem_3,B,116868,1152,1640704,1152,0,0,821504,0.0,1.9946435294520313,8abd33f9588cf2db2e4db267744ecb98cb0bf34ecc2413578fc889728b672ffe,369c8554d66cb38055c8d96aba8fa6fcfda060a8dbab7343ef1bfbb832b64bbe,ab7ad57866a24e89a948be7458dcc5c6
case_001,3,problem_3,B,78545,2304,1641856,2304,0,0,822656,0.0,2.9678528232223567,6d6cffe48a71edc53effe10d454190930096c6ae6452d6526a7148d258612a74,6022d66bee36c297321aaf9c7cef14998ea71efd033e2f73208438d58bfd4f49,4c08f352f03c43cfb4c2812f340b601e
case_001,4,problem_3,B,58984,3456,1643008,3456,0,0,823808,0.0,3.952088702020887,1d00a2193c4c02d534cc20d45bc282915d590734686d70f1a99d05bb79412d71,799c04552dddb7310815cf949d55379d9f31b6f6a9a7a478b7c2c2abc8befdeb,f113ecd5b51247a5ba2a155dcc141144
case_001,5,problem_3,B,47502,4608,1644160,4608,0,0,824960,0.0,4.9073723211654245,b3dae29d0f436a750631fa72c2dee3456e91d22cc0a15ad9028aacf81002b61a,cbfbacbb8cd29b8799c655b9e8dca2925ff7fd10db4eef8977e565301d502111,8bce9f24da424514a686a8c328682bf8
case_001,2,problem_3,C,116868,1152,1640704,1152,0,0,821504,0.0,1.9946435294520313,8abd33f9588cf2db2e4db267744ecb98cb0bf34ecc2413578fc889728b672ffe,6b0318208eccd30674de393168be5d8fa959d5015135de20f19715a845fe3140,f0206b590edd4b8bb779144793339a6d
case_001,3,problem_3,C,78545,2304,1641856,2304,0,0,822656,0.0,2.9678528232223567,6d6cffe48a71edc53effe10d454190930096c6ae6452d6526a7148d258612a74,351a7cbb7f36b191c764dbe86a6b67c416f30ef052e9c37894db3a748df80685,79550a2377aa4e8397218294ea9fafc5
case_001,4,problem_3,C,58984,3456,1643008,3456,0,0,823808,0.0,3.952088702020887,1d00a2193c4c02d534cc20d45bc282915d590734686d70f1a99d05bb79412d71,7aee859dbe185ffd57bc20a6ad87f4c63669cc8a60425ae6081a0cd5a74c6cdb,5d2008ef539344568321b676338d8c85
case_001,5,problem_3,C,47502,4608,1644160,4608,0,0,824960,0.0,4.9073723211654245,b3dae29d0f436a750631fa72c2dee3456e91d22cc0a15ad9028aacf81002b61a,163b4768ecd3a85e3218fb863a4e43155ed03e2ea4f168136fd0c7f48449fcc8,24b6ea2e80d4490e9359e3a7ea34f818
case_001,1,singlecore,,233110,0,1639552,0,0,,,,1.0,,520d1acb06adc82f4f98502064f671a6230a68f78e6b2e9ce89f577cccf9b0d6,7b92524667c540bf98e8f6772713a4f7
case_002,2,problem_2,B,131800,319488,1543680,319488,0,,,,1.987443095599393,d78f623b400d176895af84ab8310d127e5c258e2fe3e873e5cf0940420d75e4b,c43ccf22c733248d4d67b3ccf7dfecfe3ca1e990796f4058f179764bb2058ff0,e3f0c5e41e624b4399b8a71ac9758385
case_002,3,problem_2,B,88703,494592,1718784,494592,0,,,,2.9530568300959383,0d01b4ebe932c5ff4818f4fc6cb54044a3e50a3cc34080055fb3ad97273b2f24,21bb632ae3edbf6faff03926dcefad40afe5840888727933df69c666627eb87b,ea1e28942c164f7ab3cbf34825157e02
case_002,4,problem_2,B,66822,466944,1691136,466944,0,,,,3.920041303762234,cdd7f2a3244b23f9fe3289c598d2ed732054414989db4fe77a24d6c8e05c7878,27359eeda888096516264b92a63d3d8c59fee08a52130bba4a6f0ca7262fe9de,73162fa3cd8c405abc19adecbce3dbd0
case_002,5,problem_2,B,54257,552960,1777152,552960,0,,,,4.827856313471073,1c0e276a3623d8895a4aac686ab82bb389f24fda0cca91cd09545ea4d584e412,deb9fa9d2e32ea156ec5ec19a8bfe1fcc9621ce65fa55e47d9affeb1da2e953c,a2ae12f038a24d598018be5d8e2ffd3a
case_002,2,problem_3,B,131800,319488,1543680,319488,0,0,1382400,0.0,1.987443095599393,d78f623b400d176895af84ab8310d127e5c258e2fe3e873e5cf0940420d75e4b,dc299edaa7741b5b9ca1ecaec34be62e0c77990faeeb6034b54ac08935240ade,6d7abd8b2dcf4bc8ab1dd8f298497408
