case,cores,source,makespan,added_copy_bytes,cache_hit_rate,error
case_001,5,B_warm_start,47502,4608,0.0,
case_001,5,op_list_height_delay0,47502,4608,0.0,
case_002,5,B_warm_start,54257,552960,0.0,
case_002,5,op_list_height_delay0,73568,2370048,0.2335423197492163,
case_002,5,op_list_depth_delay0,63303,549888,0.0,
case_002,5,op_list_height_delay100,65093,2317824,0.23721665788086452,
case_002,5,op_list_depth_delay100,61911,552960,0.0,
case_003,5,B_warm_start,,,,
case_003,5,op_list_height_delay0,,,,
case_003,5,op_list_depth_delay0,,,,
case_003,5,op_list_fanout_delay0,,,,
case_003,5,op_list_height_delay100,,,,
case_003,5,op_list_depth_delay100,,,,
case_003,5,op_list_fanout_delay100,,,,
case_004,5,B_warm_start,81622,2267136,0.20930232558139536,
case_004,5,op_list_depth_delay0,108181,2147328,0.3076923076923077,
case_004,5,op_list_depth_delay100,110197,2147328,0.3076923076923077,
case_005,5,B_warm_start,31786,1904792,0.3459378028202238,
case_005,5,op_list_height_delay0,92423,3944312,0.3062618729607884,
case_005,5,op_list_depth_delay0,133837,3650548,0.3653694232565543,
case_005,5,op_list_fanout_delay0,92626,3861238,0.2948282410026232,
case_005,5,op_list_height_delay100,68493,3813272,0.28352242575741937,
case_005,5,op_list_depth_delay100,63555,3518710,0.35716619519702847,
case_005,5,op_list_fanout_delay100,64911,3573014,0.29723960294575325,
