case,singlecore_makespan,problem_1_N2_makespan,problem_1_N2_added_bytes,problem_1_N2_speedup,problem_1_N3_makespan,problem_1_N3_added_bytes,problem_1_N3_speedup,problem_1_N4_makespan,problem_1_N4_added_bytes,problem_1_N4_speedup,problem_1_N5_makespan,problem_1_N5_added_bytes,problem_1_N5_speedup,problem_2_N2_makespan,problem_2_N2_added_bytes,problem_2_N2_speedup,problem_2_N3_makespan,problem_2_N3_added_bytes,problem_2_N3_speedup,problem_2_N4_makespan,problem_2_N4_added_bytes,problem_2_N4_speedup,problem_2_N5_makespan,problem_2_N5_added_bytes,problem_2_N5_speedup,problem_3_N2_makespan,problem_3_N2_added_bytes,problem_3_N2_speedup,problem_3_N3_makespan,problem_3_N3_added_bytes,problem_3_N3_speedup,problem_3_N4_makespan,problem_3_N4_added_bytes,problem_3_N4_speedup,problem_3_N5_makespan,problem_3_N5_added_bytes,problem_3_N5_speedup,problem_3_N2_cache_hit,problem_3_N3_cache_hit,problem_3_N4_cache_hit,problem_3_N5_cache_hit
case_001,233110,116868,1152,1.9946,78545,2304,2.9679,58984,3456,3.9521,47502,4608,4.9074,116868,1152,1.9946,78545,2304,2.9679,58984,3456,3.9521,47502,4608,4.9074,116868,1152,1.9946,78545,2304,2.9679,58984,3456,3.9521,47502,4608,4.9074,0.0,0.0,0.0,0.0
case_002,261945,139468,479232,1.8782,94656,55296,2.7673,87716,304128,2.9863,70534,353280,3.7137,131944,49152,1.9853,88883,261120,2.9471,68377,248832,3.8309,59278,248832,4.4189,131944,49152,1.9853,88883,261120,2.9471,68377,248832,3.8309,59278,248832,4.4189,0.0,0.0,0.0,0.0
case_003,602212,544189,1139420,1.1066,543937,1289212,1.1071,548873,488604,1.0972,543689,821526,1.1076,542664,246410,1.1097,596878,431626,1.0089,529466,814814,1.1374,533766,1077276,1.1282,542664,246410,1.1097,596878,431626,1.0089,529466,814814,1.1374,533552,1077276,1.1287,0.1061,0.0851,0.0763,0.1944
case_004,392357,199832,347136,1.9634,134043,221184,2.9271,105089,663552,3.7336,88393,1136640,4.4388,199074,110592,1.9709,134043,221184,2.9271,105580,331776,3.7162,88341,442368,4.4414,199074,110592,1.9709,134043,221184,2.9271,105580,331776,3.7162,88341,442368,4.4414,0.0,0.0,0.0,0.0
case_005,95618,95618,0,1.0,91585,673600,1.044,95302,209484,1.0033,95618,0,1.0,95516,0,1.0011,85737,188262,1.1152,86040,332680,1.1113,94581,23330,1.011,95516,0,1.0011,85736,188262,1.1153,86011,332680,1.1117,94581,23330,1.011,0.0,0.0752,0.095,0.0543
case_006,82837,44816,30224,1.8484,40567,333872,2.042,36236,19856,2.286,34585,316322,2.3952,42464,12300,1.9508,38066,17812,2.1761,32870,110880,2.5201,33319,155872,2.4862,42464,12300,1.9508,38066,17812,2.1761,32870,110880,2.5201,33278,155872,2.4892,0.0221,0.0317,0.0933,0.2024
case_007,1012562,508042,90624,1.9931,388172,705024,2.6085,292738,972288,3.4589,205046,248832,4.9382,507494,27648,1.9952,405798,1313280,2.4952,287180,82944,3.5259,231194,110592,4.3797,507494,27648,1.9952,405798,1313280,2.4952,287180,82944,3.5259,231194,110592,4.3797,0.0,0.1448,0.0,0.0
case_008,487605,245702,0,1.9845,164386,0,2.9662,124396,0,3.9198,102042,0,4.7785,244266,0,1.9962,163359,0,2.9849,123060,0,3.9623,100603,0,4.8468,244266,0,1.9962,163359,0,2.9849,123060,0,3.9623,100603,0,4.8468,0.0,0.0,0.0,0.0
case_009,153261,126698,260924,1.2097,92207,237760,1.6621,92216,241852,1.662,92225,237742,1.6618,112639,52406,1.3606,91271,161938,1.6792,91294,187086,1.6788,90434,281344,1.6947,112639,52406,1.3606,91271,161938,1.6792,91294,187086,1.6788,90437,281344,1.6947,0.0582,0.1475,0.1329,0.1885
case_010,86969,47575,27648,1.828,36571,487394,2.3781,33870,354154,2.5677,33856,710684,2.5688,47478,21312,1.8318,35276,107940,2.4654,32391,52420,2.685,27087,185576,3.2107,47478,21312,1.8318,35276,107940,2.4654,32379,52420,2.686,26666,185576,3.2614,0.0442,0.1982,0.0702,0.2721
